#y z r Fr
-4.0000000000000002e-01 -4.0000000000000002e-01 5.6568542494923812e-01 -4.3313429901784467e-02
-3.9466666666666672e-01 -3.9466666666666672e-01 5.5814295261658153e-01 -4.0678037797597710e-02
-3.8933333333333336e-01 -3.8933333333333336e-01 5.5060048028392505e-01 -3.8151176699172153e-02
-3.8400000000000001e-01 -3.8400000000000001e-01 5.4305800795126846e-01 -3.5739876085839818e-02
-3.7866666666666671e-01 -3.7866666666666671e-01 5.3551553561861198e-01 -3.3440600942187537e-02
-3.7333333333333335e-01 -3.7333333333333335e-01 5.2797306328595550e-01 -3.1240564324001539e-02
-3.6800000000000005e-01 -3.6800000000000005e-01 5.2043059095329902e-01 -2.9123658709407866e-02
-3.6266666666666669e-01 -3.6266666666666669e-01 5.1288811862064254e-01 -2.7075045287828486e-02
-3.5733333333333334e-01 -3.5733333333333334e-01 5.0534564628798595e-01 -2.5083358576405545e-02
-3.5200000000000004e-01 -3.5200000000000004e-01 4.9780317395532947e-01 -2.3141168345948839e-02
-3.4666666666666668e-01 -3.4666666666666668e-01 4.9026070162267299e-01 -2.1244581561147967e-02
-3.4133333333333332e-01 -3.4133333333333332e-01 4.8271822929001645e-01 -1.9392601997782595e-02
-3.3600000000000002e-01 -3.3600000000000002e-01 4.7517575695735997e-01 -1.7586533278052326e-02
-3.3066666666666666e-01 -3.3066666666666666e-01 4.6763328462470344e-01 -1.5829476575194058e-02
-3.2533333333333336e-01 -3.2533333333333336e-01 4.6009081229204696e-01 -1.4125864567980786e-02
-3.2000000000000001e-01 -3.2000000000000001e-01 4.5254833995939042e-01 -1.2480958796538115e-02
-3.1466666666666665e-01 -3.1466666666666665e-01 4.4500586762673389e-01 -1.0900274769373082e-02
-3.0933333333333335e-01 -3.0933333333333335e-01 4.3746339529407741e-01 -9.3889505106077350e-03
-3.0400000000000005e-01 -3.0400000000000005e-01 4.2992092296142093e-01 -7.9511153367429963e-03
-2.9866666666666669e-01 -2.9866666666666669e-01 4.2237845062876445e-01 -6.5893352712594958e-03
-2.9333333333333333e-01 -2.9333333333333333e-01 4.1483597829610791e-01 -5.3042084884665696e-03
-2.8799999999999998e-01 -2.8799999999999998e-01 4.0729350596345137e-01 -4.0941635910543171e-03
-2.8266666666666668e-01 -2.8266666666666668e-01 3.9975103363079489e-01 -2.9554831574397380e-03
-2.7733333333333338e-01 -2.7733333333333338e-01 3.9220856129813841e-01 -1.8825427395007333e-03
-2.7199999999999996e-01 -2.7199999999999996e-01 3.8466608896548182e-01 -8.6822771692891636e-04
-2.6666666666666666e-01 -2.6666666666666666e-01 3.7712361663282534e-01 9.5528795222140752e-05
-2.6133333333333336e-01 -2.6133333333333336e-01 3.6958114430016886e-01 1.0171527296631796e-03
-2.5600000000000001e-01 -2.5600000000000001e-01 3.6203867196751238e-01 1.9048452893204951e-03
-2.5066666666666665e-01 -2.5066666666666665e-01 3.5449619963485585e-01 2.7660642286234933e-03
-2.4533333333333332e-01 -2.4533333333333332e-01 3.4695372730219931e-01 3.6071111851232705e-03
-2.3999999999999999e-01 -2.3999999999999999e-01 3.3941125496954283e-01 4.4328488094069743e-03
