#y z r Fr
-4.0000000000000002e-01 -4.0000000000000002e-01 5.6568542494923812e-01 -3.5938108184110043e-02
-3.9466666666666672e-01 -3.9466666666666672e-01 5.5814295261658153e-01 -3.4565413858083080e-02
-3.8933333333333336e-01 -3.8933333333333336e-01 5.5060048028392505e-01 -3.3201900159689240e-02
-3.8400000000000001e-01 -3.8400000000000001e-01 5.4305800795126846e-01 -3.1671186207478115e-02
-3.7866666666666671e-01 -3.7866666666666671e-01 5.3551553561861198e-01 -3.0012815272314669e-02
-3.7333333333333335e-01 -3.7333333333333335e-01 5.2797306328595550e-01 -2.8291727594612834e-02
-3.6800000000000005e-01 -3.6800000000000005e-01 5.2043059095329902e-01 -2.6549128993816427e-02
-3.6266666666666669e-01 -3.6266666666666669e-01 5.1288811862064254e-01 -2.4803304337722792e-02
-3.5733333333333334e-01 -3.5733333333333334e-01 5.0534564628798595e-01 -2.3061282668354437e-02
-3.5200000000000004e-01 -3.5200000000000004e-01 4.9780317395532947e-01 -2.1327865055707673e-02
-3.4666666666666668e-01 -3.4666666666666668e-01 4.9026070162267299e-01 -1.9609628074583645e-02
-3.4133333333333332e-01 -3.4133333333333332e-01 4.8271822929001645e-01 -1.7915329124343713e-02
-3.3600000000000002e-01 -3.3600000000000002e-01 4.7517575695735997e-01 -1.6254702310758266e-02
-3.3066666666666666e-01 -3.3066666666666666e-01 4.6763328462470344e-01 -1.4637049897896120e-02
-3.2533333333333336e-01 -3.2533333333333336e-01 4.6009081229204696e-01 -1.3070285606448080e-02
-3.2000000000000001e-01 -3.2000000000000001e-01 4.5254833995939042e-01 -1.1560540960952539e-02
-3.1466666666666665e-01 -3.1466666666666665e-01 4.4500586762673389e-01 -1.0112170293735732e-02
-3.0933333333333335e-01 -3.0933333333333335e-01 4.3746339529407741e-01 -8.7279245613090615e-03
-3.0400000000000005e-01 -3.0400000000000005e-01 4.2992092296142093e-01 -7.4091184035983094e-03
-2.9866666666666669e-01 -2.9866666666666669e-01 4.2237845062876445e-01 -6.1557108008027557e-03
-2.9333333333333333e-01 -2.9333333333333333e-01 4.1483597829610791e-01 -4.9663061259021977e-03
-2.8799999999999998e-01 -2.8799999999999998e-01 4.0729350596345137e-01 -3.8381349400493062e-03
-2.8266666666666668e-01 -2.8266666666666668e-01 3.9975103363079489e-01 -2.7670882971193803e-03
-2.7733333333333338e-01 -2.7733333333333338e-01 3.9220856129813841e-01 -1.7478635416236889e-03
-2.7199999999999996e-01 -2.7199999999999996e-01 3.8466608896548182e-01 -7.7424666769507179e-04
-2.6666666666666666e-01 -2.6666666666666666e-01 3.7712361663282534e-01 1.6048061094171151e-04
-2.6133333333333336e-01 -2.6133333333333336e-01 3.6958114430016886e-01 1.0630516447592030e-03
-2.5600000000000001e-01 -2.5600000000000001e-01 3.6203867196751238e-01 1.9397045219887827e-03
-2.5066666666666665e-01 -2.5066666666666665e-01 3.5449619963485585e-01 2.7957159818832551e-03
-2.4533333333333332e-01 -2.4533333333333332e-01 3.4695372730219931e-01 3.6350364733624325e-03
-2.3999999999999999e-01 -2.3999999999999999e-01 3.3941125496954283e-01 4.4600656123764855e-03
-2.3466666666666669e-01 -2.3466666666666669e-01 3.3186878263688629e-01 5.2715849392117884e-03
-2.2933333333333331e-01 -2.2933333333333331e-01 3.2432631030422976e-01 6.0688422758004611e-03
-2.2399999999999998e-01 -2.2399999999999998e-01 3.1678383797157328e-01 6.8497627945343278e-03
-2.1866666666666668e-01 -2.1866666666666668e-01 3.0924136563891680e-01 7.6112485893934578e-03
-2.1333333333333335e-01 -2.1333333333333335e-01 3.0169889330626026e-01 8.3495222075752138e-03
-2.0800000000000002e-01 -2.0800000000000002e-01 2.9415642097360378e-01 9.0604701417085608e-03
-2.0266666666666666e-01 -2.0266666666666666e-01 2.8661394864094725e-01 9.7399486097487289e-03
-1.9733333333333333e-01 -1.9733333333333333e-01 2.7907147630829077e-01 1.0384024336545873e-02
-1.9200000000000000e-01 -1.9200000000000000e-01 2.7152900397563423e-01 1.0989135493586934e-02
-1.8666666666666665e-01 -1.8666666666666665e-01 2.6398653164297775e-01 1.1552170490554313e-02
-1.8133333333333335e-01 -1.8133333333333335e-01 2.5644405931032127e-01 1.2070473280157311e-02
-1.7599999999999999e-01 -1.7599999999999999e-01 2.4890158697766471e-01 1.2541792036411188e-02
-1.7066666666666666e-01 -1.7066666666666666e-01 2.4135911464500823e-01 1.2964192838047079e-02
-1.6533333333333333e-01 -1.6533333333333333e-01 2.3381664231235169e-01 1.3335961212352625e-02
-1.6000000000000000e-01 -1.6000000000000000e-01 2.2627416997969521e-01 1.3655512417372550e-02
-1.5466666666666665e-01 -1.5466666666666665e-01 2.1873169764703868e-01 1.3921326861416441e-02
-1.4933333333333332e-01 -1.4933333333333332e-01 2.1118922531438220e-01 1.4131920991245734e-02
-1.4399999999999999e-01 -1.4399999999999999e-01 2.0364675298172569e-01 1.4285857308486716e-02
-1.3866666666666666e-01 -1.3866666666666666e-01 1.9610428064906915e-01 1.4381790824488020e-02
-1.3333333333333333e-01 -1.3333333333333333e-01 1.8856180831641267e-01 1.4418544003161787e-02
-1.2799999999999997e-01 -1.2799999999999997e-01 1.8101933598375614e-01 1.4395198605350126e-02
-1.2266666666666666e-01 -1.2266666666666666e-01 1.7347686365109966e-01 1.4311191109531350e-02
-1.1733333333333332e-01 -1.1733333333333332e-01 1.6593439131844315e-01 1.4166398552681396e-02
-1.1199999999999999e-01 -1.1199999999999999e-01 1.5839191898578664e-01 1.3961203491089810e-02
-1.0666666666666665e-01 -1.0666666666666665e-01 1.5084944665313013e-01 1.3696529925105699e-02
-1.0133333333333333e-01 -1.0133333333333333e-01 1.4330697432047362e-01 1.3373845954014094e-02
-9.5999999999999988e-02 -9.5999999999999988e-02 1.3576450198781712e-01 1.2995133077323967e-02
-9.0666666666666659e-02 -9.0666666666666659e-02 1.2822202965516061e-01 1.2562825914127424e-02
-8.5333333333333317e-02 -8.5333333333333317e-02 1.2067955732250409e-01 1.2079729235137854e-02
-7.9999999999999988e-02 -7.9999999999999988e-02 1.1313708498984758e-01 1.1548921281429630e-02
-7.4666666666666645e-02 -7.4666666666666645e-02 1.0559461265719107e-01 1.0973653218848313e-02
-6.9333333333333316e-02 -6.9333333333333316e-02 9.8052140324534576e-02 1.0357254241457376e-02
